date,sku_id,product_id,product_name,category_l1,category_l2,brand,avg_price,min_price,max_price,total_sales,shop_count,"record_count"
2026-06-01,SKU0001,PROD0001,玉兰油运动装备 SKU0001,运动户外,运动户外,玉兰油,1095.99,194.55,2887.43,640,4,"4"
2026-06-01,SKU0002,PROD0002,三只松鼠护肤精华 SKU0002,美妆个护,美妆个护,三只松鼠,350.01,197.62,502.41,336,2,"2"
2026-06-01,SKU0003,PROD0003,美的智能手机 SKU0003,手机数码,手机数码,美的,4433.51,3544.5,5177.51,356,3,"3"
2026-06-01,SKU0004,PROD0004,海尔智能手机 SKU0004,手机数码,手机数码,海尔,6195.52,4425.84,8371.7,822,5,"5"
2026-06-01,SKU0005,PROD0005,索尼日用商品 SKU0005,日用百货,日用百货,索尼,253.55,44.58,413.47,703,4,"4"
2026-06-01,SKU0006,PROD0006,格力时尚运动鞋 SKU0006,服饰鞋包,服饰鞋包,格力,1150.5,291.23,1477.84,780,5,"5"
2026-06-01,SKU0007,PROD0007,良品铺子精选零食礼包 SKU0007,食品饮料,食品饮料,良品铺子,126.12,107.75,144.5,256,2,"2"
2026-06-01,SKU0008,PROD0008,华为智能家电 SKU0008,家用电器,家用电器,华为,2645.69,934.94,4226.42,719,5,"5"
2026-06-01,SKU0009,PROD0009,索尼智能家电 SKU0009,家用电器,家用电器,索尼,3208.6,2185.19,5236.39,600,3,"3"
2026-06-01,SKU0010,PROD0010,三只松鼠时尚运动鞋 SKU0010,服饰鞋包,服饰鞋包,三只松鼠,1060.66,581.89,1522.24,845,5,"5"
2026-06-01,SKU0011,PROD0011,Adidas笔记本电脑 SKU0011,电脑办公,电脑办公,Adidas,5299.55,2755.27,9498.94,850,5,"5"
2026-06-01,SKU0012,PROD0012,美的时尚运动鞋 SKU0012,服饰鞋包,服饰鞋包,美的,1306.92,1076.64,1554.47,448,3,"3"
2026-06-01,SKU0013,PROD0013,欧莱雅智能手机 SKU0013,手机数码,手机数码,欧莱雅,5647.37,4220.84,8001.55,517,3,"3"
2026-06-01,SKU0014,PROD0014,格力日用商品 SKU0014,日用百货,日用百货,格力,339.34,152.65,439.75,849,5,"5"
2026-06-01,SKU0015,PROD0015,联想笔记本电脑 SKU0015,电脑办公,电脑办公,联想,2850.21,661.87,7031.5,621,3,"3"
2026-06-01,SKU0016,PROD0016,Adidas智能家电 SKU0016,家用电器,家用电器,Adidas,3717.4,832.27,4798.96,703,5,"5"
2026-06-01,SKU0017,PROD0017,格力运动装备 SKU0017,运动户外,运动户外,格力,1842.9,1175.26,2777.03,593,3,"3"
2026-06-01,SKU0018,PROD0018,海尔护肤精华 SKU0018,美妆个护,美妆个护,海尔,60.24,58.01,62.48,325,2,"2"
2026-06-01,SKU0019,PROD0019,玉兰油护肤精华 SKU0019,美妆个护,美妆个护,玉兰油,363.05,129.05,629.53,723,5,"5"
2026-06-01,SKU0020,PROD0020,NIKE运动装备 SKU0020,运动户外,运动户外,NIKE,2244.66,2011.11,2478.22,437,2,"2"
2026-06-01,SKU0021,PROD0021,三星时尚运动鞋 SKU0021,服饰鞋包,服饰鞋包,三星,603.7,229.68,832.8,477,3,"3"
2026-06-01,SKU0022,PROD0022,Apple运动装备 SKU0022,运动户外,运动户外,Apple,1478.71,1080.21,1877.21,240,2,"2"
2026-06-01,SKU0023,PROD0023,Adidas日用商品 SKU0023,日用百货,日用百货,Adidas,179.22,76.23,292.18,641,4,"4"
2026-06-01,SKU0024,PROD0024,Apple智能手机 SKU0024,手机数码,手机数码,Apple,4181.89,1317.6,6958.15,689,4,"4"
2026-06-01,SKU0025,PROD0025,Apple护肤精华 SKU0025,美妆个护,美妆个护,Apple,149.22,124.41,174.03,229,2,"2"
2026-06-01,SKU0026,PROD0026,三只松鼠日用商品 SKU0026,日用百货,日用百货,三只松鼠,251.84,42.47,387.98,590,5,"5"
2026-06-01,SKU0027,PROD0027,联想时尚运动鞋 SKU0027,服饰鞋包,服饰鞋包,联想,703.59,124.08,1449.23,707,4,"4"
2026-06-01,SKU0028,PROD0028,索尼运动装备 SKU0028,运动户外,运动户外,索尼,2148.69,554.18,3012.01,529,4,"4"
2026-06-01,SKU0029,PROD0029,索尼笔记本电脑 SKU0029,电脑办公,电脑办公,索尼,4912.59,1492.87,8388.58,953,5,"5"
2026-06-01,SKU0030,PROD0030,海尔护肤精华 SKU0030,美妆个护,美妆个护,海尔,500.24,495.35,505.13,136,2,"2"
2026-06-01,SKU0031,PROD0031,海尔日用商品 SKU0031,日用百货,日用百货,海尔,319.43,154.89,467.17,439,4,"4"
2026-06-01,SKU0032,PROD0032,小米运动装备 SKU0032,运动户外,运动户外,小米,560.21,440.15,680.28,295,2,"2"
2026-06-01,SKU0033,PROD0033,格力智能手机 SKU0033,手机数码,手机数码,格力,4602.11,1087.22,8193.37,615,5,"5"
2026-06-01,SKU0034,PROD0034,小米智能手机 SKU0034,手机数码,手机数码,小米,1941.57,958.81,3330.43,320,3,"3"
2026-06-01,SKU0035,PROD0035,NIKE日用商品 SKU0035,日用百货,日用百货,NIKE,184.73,58.38,394.12,366,3,"3"
2026-06-01,SKU0036,PROD0036,索尼笔记本电脑 SKU0036,电脑办公,电脑办公,索尼,3606.85,700.78,4893.7,917,5,"5"
